# AUC Analysis | DHVI | Henderson Lab | ALB | 25 February 2024time_delay (us),auc
3.000000000000000000e+00,-1.655004237497105979e-04
5.000000000000000000e+00,-1.730111923074930508e-04
1.000000000000000000e+01,-2.061832332982510530e-04
5.000000000000000000e+01,-2.439455422734868799e-04
1.000000000000000000e+02,-2.653660542284092590e-04
5.000000000000000000e+02,-3.739777331257074407e-04
1.000000000000000000e+03,-4.522829198210511176e-04
